PersonID,Amount,FamilySize,Distance,Duration,DirectVisits,OnlineVisits,Quantity,NumberofFrequentItems,TransactionMode,Area,Occupation
C1104,3125,2,6,261,11,9,365,11,2,Area1,2
C1111,5298,2,5,323,9,9,218,3,2,Area1,1
C1117,4375,2,6,355,11,11,1367,11,2,Area1,2
C1128,9700,5,7,418,51,41,2947,51,1,Area1,1
C1132,3625,2,7,290,9,9,1233,8,2,Area1,3
C1133,2938,5,7,448,20,10,4788,20,1,Area1,2
C1135,3999,2,5,392,20,17,1065,19,2,Area1,2
C1142,2688,3,7,379,16,11,123,16,2,Area1,3
C1146,4563,2,7,437,28,18,357,28,2,Area1,3
C1165,3261,4,6,378,13,12,911,9,2,Area1,1
C1167,2903,2,5,398,12,12,240,12,2,Area2,3
C1169,2889,4,7,413,14,14,1324,14,2,Area2,2
C1171,2666,5,9,346,12,12,1339,12,2,Area2,1
C1176,3225,4,8,379,14,14,2750,14,1,Area2,2
C1189,3226,2,4,230,13,13,756,13,2,Area2,2
C1191,3203,4,5,454,19,11,41,19,2,Area2,2
C1203,5586,3,7,403,17,17,3895,17,2,Area2,2
C1206,3492,2,3,301,17,17,57,17,2,Area2,1
C1210,3200,2,4,390,11,11,758,11,2,Area2,1
C1212,3393,4,6,455,10,10,813,10,2,Area2,1
C1215,4012,5,7,370,12,12,710,12,2,Area2,3
C1216,4538,2,5,304,9,9,1330,9,2,Area2,3
C1227,2778,4,8,377,8,8,1060,8,2,Area2,2
C1232,3055,2,5,321,13,12,5396,13,2,Area2,1
C1233,2540,2,7,182,8,8,333,8,2,Area2,3
C1247,2792,3,9,166,11,11,540,11,2,Area2,2
C1255,2576,3,7,294,11,11,1621,11,2,Area2,3
C1257,2944,2,7,229,7,7,1246,7,2,Area2,2
C1258,2761,2,7,204,11,11,1908,11,2,Area2,1
C1266,4068,2,7,303,12,11,1749,12,2,Area2,3
C1272,2980,2,7,286,8,8,497,8,2,Area2,1
C1275,3769,2,6,383,13,13,249,13,2,Area2,3
C1276,4407,3,11,196,13,13,1138,13,2,Area2,1
C1277,3277,3,6,367,16,16,10,16,2,Area2,1
C1283,3936,2,7,469,8,8,1767,8,2,Area2,3
C1287,4492,4,20,382,16,16,347,16,2,Area2,2
C1296,3334,3,6,388,14,14,158,14,2,Area2,3
C1300,3149,3,6,343,8,8,1835,8,2,Area2,3
C1309,2865,3,6,367,12,12,1728,12,2,Area2,3
C1332,2597,3,7,369,9,8,892,9,1,Area2,1
C1341,3522,3,5,388,14,13,5065,14,1,Area2,1
C1342,4353,2,4,468,21,15,1269,21,2,Area2,2
C1361,3400,2,5,457,16,16,2556,16,2,Area2,1
C1382,3015,2,7,365,5,5,264,5,2,Area2,3
C1389,3130,2,5,431,13,13,1776,13,2,Area2,2
C1390,3200,2,5,238,15,15,1002,15,2,Area2,2
C1395,2922,4,8,363,8,8,750,8,2,Area2,1
C1399,2780,2,5,335,9,9,1582,9,2,Area2,3
C1410,2882,2,7,464,13,13,684,13,2,Area2,1
C1414,2542,3,5,454,6,6,749,6,2,Area2,2
C1416,5572,2,6,158,22,22,1070,22,2,Area2,3
C1422,4172,6,6,295,16,16,7097,16,2,Area2,3
C1427,2753,3,20,334,9,9,264,9,2,Area2,3
C1430,4046,2,5,410,14,14,7809,14,2,Area2,1
C1436,6009,2,6,361,17,17,557,17,2,Area2,2
C1445,4237,2,5,388,15,15,649,15,2,Area2,1
C1449,4803,3,6,364,17,17,396,17,2,Area2,2
C1450,2883,2,3,435,10,10,1625,10,2,Area2,3
C1458,2539,2,4,442,9,9,468,9,2,Area2,1
C1459,3684,4,6,425,19,19,2590,19,2,Area2,2
C1463,4707,3,5,293,15,14,2434,15,2,Area2,3
C1465,4616,2,5,419,17,17,3419,17,2,Area2,1
C1470,2718,3,7,363,12,12,2481,12,2,Area2,2
C1477,12225,3,4,446,49,49,11311,49,2,Area1,2
C1478,2563,2,8,276,11,11,3223,11,2,Area1,2
C1489,2584,4,6,214,7,7,30,1,2,Area1,3
C1492,4137,4,9,348,14,13,901,11,2,Area1,2
C1501,3250,2,7,357,1,1,0,0,2,Area1,3
C1504,3063,4,7,372,11,11,3654,11,2,Area1,1
C1507,7875,2,3,349,29,29,58,29,2,Area1,1
C1511,2788,4,9,456,6,6,1570,6,2,Area2,2
C1531,2749,6,7,362,8,8,923,4,1,Area1,3
C1532,2875,4,7,445,16,15,6605,16,1,Area1,1
C1539,4499,3,5,470,24,19,3345,20,1,Area1,2
C1541,12437,4,7,239,39,40,3378,38,2,Area1,2
C1548,3093,3,6,442,7,7,0,1,2,Area1,1
